description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds,date,country,city
clear sky,280.97,280.97,276.97,285.26,1027,44,10000.0,0.68,137,0,2023-07-18 01:49:16 UTC,ZA,Centurion
clear sky,281.35,281.35,276.16,284.45,1027,36,10000.0,0.34,127,0,2023-07-18 01:48:02 UTC,ZA,Midrand
clear sky,282.31,282.31,276.59,284.88,1031,57,10000.0,0.0,0,0,2023-07-18 01:49:48 UTC,ZA,Sandton
clear sky,281.19,281.19,277.55,284.19,1030,58,10000.0,0.51,170,0,2023-07-18 01:59:48 UTC,ZA,Pretoria
clear sky,281.29,281.29,278.09,283.1,1028,58,10000.0,0.45,250,0,2023-07-18 01:56:58 UTC,ZA,Johannesburg
clear sky,282.27,282.27,276.97,285.26,1031,49,10000.0,0.51,170,0,2023-07-18 01:59:49 UTC,ZA,Centurion
clear sky,282.11,282.11,276.16,284.45,1031,53,10000.0,0.51,170,0,2023-07-18 01:59:50 UTC,ZA,Midrand
clear sky,282.33,282.33,276.59,284.88,1031,58,10000.0,0.0,0,0,2023-07-18 01:57:01 UTC,ZA,Sandton
clear sky,283.58,281.91,282.97,284.19,1031,47,10000.0,0.51,180,0,2023-07-18 02:05:06 UTC,ZA,Pretoria
clear sky,282.42,282.42,280.23,283.1,1025,54,10000.0,0.45,225,0,2023-07-18 02:06:45 UTC,ZA,Johannesburg
clear sky,283.15,283.15,282.39,285.26,1031,49,10000.0,0.51,180,0,2023-07-18 02:04:59 UTC,ZA,Centurion
clear sky,282.34,282.34,281.58,284.45,1031,57,10000.0,0.51,180,0,2023-07-18 02:08:10 UTC,ZA,Midrand
clear sky,283.71,282.28,282.3,284.88,1039,56,10000.0,0.89,130,0,2023-07-18 02:09:40 UTC,ZA,Sandton
clear sky,283.58,281.91,282.97,284.19,1031,47,10000.0,0.51,180,0,2023-07-18 02:05:06 UTC,ZA,Pretoria
clear sky,282.42,282.42,280.23,283.1,1025,54,10000.0,0.45,225,0,2023-07-18 02:06:45 UTC,ZA,Johannesburg
clear sky,283.15,283.15,282.39,285.26,1031,49,10000.0,0.51,180,0,2023-07-18 02:04:59 UTC,ZA,Centurion
clear sky,282.34,282.34,281.58,284.45,1031,57,10000.0,0.51,180,0,2023-07-18 02:08:10 UTC,ZA,Midrand
clear sky,283.71,282.28,282.3,284.88,1039,56,10000.0,0.89,130,0,2023-07-18 02:09:40 UTC,ZA,Sandton
clear sky,288.58,287.41,286.55,290.7,1030,47,10000.0,0.0,0,0,2023-07-18 09:55:17 UTC,ZA,Pretoria
clear sky,287.33,285.95,285.4,288.24,1028,44,10000.0,1.79,247,0,2023-07-18 09:54:10 UTC,ZA,Johannesburg
clear sky,288.56,287.28,285.97,290.4,1037,43,10000.0,0.45,313,0,2023-07-18 09:56:32 UTC,ZA,Centurion
clear sky,288.28,287.02,285.16,289.59,1043,45,10000.0,0.45,344,0,2023-07-18 09:56:32 UTC,ZA,Midrand
clear sky,288.75,287.54,285.59,290.01,1034,45,10000.0,1.34,336,0,2023-07-18 09:56:33 UTC,ZA,Sandton
clear sky,290.23,289.14,289.25,291.84,1028,44,10000.0,1.39,313,0,2023-07-18 10:03:42 UTC,ZA,Pretoria
clear sky,287.33,285.95,285.4,288.24,1028,44,10000.0,1.79,247,0,2023-07-18 09:56:29 UTC,ZA,Johannesburg
clear sky,289.42,288.15,288.67,291.25,1037,40,10000.0,1.34,352,0,2023-07-18 10:01:37 UTC,ZA,Centurion
clear sky,288.89,287.59,287.86,290.44,1043,41,10000.0,0.89,292,0,2023-07-18 10:06:35 UTC,ZA,Midrand
clear sky,289.31,288.13,288.28,290.87,1034,44,10000.0,1.34,321,0,2023-07-18 10:03:58 UTC,ZA,Sandton
clear sky,289.68,288.41,288.26,291.84,1030,39,10000.0,0.51,110,0,2023-07-18 10:16:36 UTC,ZA,Pretoria
clear sky,288.0,286.64,286.34,289.09,1029,42,10000.0,1.79,225,0,2023-07-18 10:10:04 UTC,ZA,Johannesburg
clear sky,289.49,288.2,287.68,291.25,1037,39,10000.0,2.24,340,0,2023-07-18 10:16:37 UTC,ZA,Centurion
clear sky,289.03,287.74,286.87,290.44,1043,41,10000.0,2.24,340,0,2023-07-18 10:16:38 UTC,ZA,Midrand
clear sky,289.09,287.86,286.35,290.87,1034,43,10000.0,1.34,305,0,2023-07-18 10:12:45 UTC,ZA,Sandton
clear sky,289.7,288.43,287.32,292.45,1030,39,10000.0,0.51,110,0,2023-07-18 10:25:39 UTC,ZA,Pretoria
clear sky,288.59,287.26,287.07,289.35,1029,41,10000.0,1.34,262,0,2023-07-18 10:24:27 UTC,ZA,Johannesburg
clear sky,289.5,288.24,287.68,291.51,1037,40,10000.0,1.34,355,0,2023-07-18 10:23:01 UTC,ZA,Centurion
clear sky,289.42,288.17,287.43,291.06,1043,41,10000.0,0.89,3,0,2023-07-18 10:26:41 UTC,ZA,Midrand
clear sky,290.11,288.96,287.86,291.49,1034,42,10000.0,1.34,349,0,2023-07-18 10:26:41 UTC,ZA,Sandton
clear sky,290.12,288.89,289.38,291.9,1030,39,10000.0,0.51,110,0,2023-07-18 10:36:42 UTC,ZA,Pretoria
clear sky,288.86,287.56,286.9,289.71,1028,41,10000.0,1.34,255,0,2023-07-18 10:33:44 UTC,ZA,Johannesburg
clear sky,289.95,288.7,288.8,291.51,1037,39,10000.0,1.34,333,0,2023-07-18 10:36:43 UTC,ZA,Centurion
clear sky,289.59,288.36,287.99,290.7,1043,41,10000.0,1.34,333,0,2023-07-18 10:36:44 UTC,ZA,Midrand
clear sky,290.39,289.24,287.86,291.49,1034,41,10000.0,1.79,22,0,2023-07-18 10:34:40 UTC,ZA,Sandton
clear sky,290.45,289.23,289.38,292.45,1030,38,10000.0,0.51,110,0,2023-07-18 10:45:20 UTC,ZA,Pretoria
clear sky,289.04,287.76,287.63,289.9,1028,41,10000.0,1.34,145,0,2023-07-18 10:43:57 UTC,ZA,Johannesburg
clear sky,290.58,289.34,288.97,292.06,1037,37,10000.0,0.89,46,0,2023-07-18 10:46:46 UTC,ZA,Centurion
clear sky,289.94,288.72,287.99,291.25,1043,40,10000.0,0.45,257,0,2023-07-18 10:45:09 UTC,ZA,Midrand
clear sky,290.48,289.34,288.42,291.67,1034,41,10000.0,1.34,16,0,2023-07-18 10:42:35 UTC,ZA,Sandton
clear sky,290.68,289.45,289.55,292.45,1030,37,10000.0,0.51,110,0,2023-07-18 10:51:52 UTC,ZA,Pretoria
clear sky,289.23,287.94,287.45,289.9,1028,40,10000.0,1.79,268,0,2023-07-18 10:54:01 UTC,ZA,Johannesburg
clear sky,290.73,289.51,288.97,292.06,1037,37,10000.0,1.34,324,0,2023-07-18 10:51:53 UTC,ZA,Centurion
clear sky,290.25,289.06,288.16,291.25,1043,40,10000.0,1.79,319,0,2023-07-18 10:56:49 UTC,ZA,Midrand
clear sky,290.81,289.68,288.59,291.67,1034,40,10000.0,1.34,325,0,2023-07-18 10:55:10 UTC,ZA,Sandton
clear sky,291.29,290.18,290.49,293.01,1027,39,10000.0,1.95,304,0,2023-07-18 11:03:01 UTC,ZA,Pretoria
clear sky,289.69,288.47,288.56,290.46,1025,41,10000.0,1.79,213,0,2023-07-18 11:03:45 UTC,ZA,Johannesburg
clear sky,290.93,289.76,289.91,292.62,1036,38,10000.0,0.89,341,0,2023-07-18 11:03:10 UTC,ZA,Centurion
clear sky,290.51,289.32,289.65,291.81,1042,39,10000.0,0.89,285,0,2023-07-18 11:06:51 UTC,ZA,Midrand
clear sky,291.11,290.06,289.53,292.23,1034,42,10000.0,1.34,331,0,2023-07-18 11:04:13 UTC,ZA,Sandton
clear sky,291.41,290.23,290.32,293.56,1030,36,10000.0,1.54,280,0,2023-07-18 11:14:50 UTC,ZA,Pretoria
clear sky,289.78,288.57,287.57,290.82,1025,41,10000.0,1.79,213,0,2023-07-18 11:11:59 UTC,ZA,Johannesburg
clear sky,291.41,290.23,289.73,294.25,1036,36,10000.0,1.79,344,0,2023-07-18 11:16:29 UTC,ZA,Centurion
clear sky,290.93,289.78,288.92,293.44,1042,39,10000.0,1.79,344,0,2023-07-18 11:16:54 UTC,ZA,Midrand
clear sky,291.26,290.17,289.35,292.78,1034,40,10000.0,1.54,0,0,2023-07-18 11:13:26 UTC,ZA,Sandton
clear sky,291.69,290.51,290.32,293.56,1030,35,10000.0,1.54,280,0,2023-07-18 11:26:55 UTC,ZA,Pretoria
clear sky,290.66,289.51,287.57,292.09,1028,40,10000.0,1.03,320,0,2023-07-18 11:23:04 UTC,ZA,Johannesburg
clear sky,291.41,290.23,289.73,294.25,1036,36,10000.0,1.34,329,0,2023-07-18 11:21:59 UTC,ZA,Centurion
clear sky,290.92,289.74,288.92,293.44,1042,38,10000.0,1.34,337,0,2023-07-18 11:26:56 UTC,ZA,Midrand
clear sky,291.7,290.63,289.35,293.87,1033,39,10000.0,2.68,302,0,2023-07-18 11:24:41 UTC,ZA,Sandton
clear sky,291.81,290.65,290.32,294.84,1030,35,10000.0,1.54,280,0,2023-07-18 11:36:57 UTC,ZA,Pretoria
clear sky,291.16,289.96,289.12,292.09,1028,36,10000.0,1.34,209,0,2023-07-18 11:34:03 UTC,ZA,Johannesburg
